"subject","congruency","rt"
1,"congruent",1.281
1,"incongruent",1.942
1,"congruent",0.847
1,"incongruent",1.279
1,"congruent",0.631
1,"incongruent",0.693
1,"congruent",0.922
1,"incongruent",0.703
1,"incongruent",1.764
1,"incongruent",1.342
1,"congruent",0.549
1,"congruent",0.65
1,"incongruent",0.701
1,"congruent",0.682
1,"congruent",0.516
1,"congruent",0.648
1,"incongruent",0.432
1,"congruent",0.738
1,"incongruent",0.754
1,"congruent",0.914
1,"congruent",0.614
1,"incongruent",0.634
1,"incongruent",0.701
1,"congruent",0.806
1,"incongruent",0.753
1,"incongruent",1.013
1,"congruent",0.675
1,"congruent",0.537
1,"incongruent",0.843
1,"congruent",0.7
1,"incongruent",0.731
1,"incongruent",0.721
1,"congruent",0.675
1,"incongruent",0.898
1,"congruent",0.828
1,"congruent",0.521
1,"incongruent",1.3
1,"congruent",0.653
1,"incongruent",1.123
1,"incongruent",0.814
1,"congruent",0.6
1,"congruent",0.492
1,"incongruent",0.634
1,"congruent",0.606
1,"congruent",0.504
1,"incongruent",0.933
1,"incongruent",0.725
1,"incongruent",1.045
1,"congruent",0.674
1,"incongruent",0.661
1,"congruent",0.478
1,"congruent",0.539
1,"incongruent",0.672
1,"congruent",0.604
1,"incongruent",0.571
1,"congruent",0.624
1,"congruent",0.725
1,"incongruent",0.592
1,"incongruent",0.971
1,"incongruent",0.501
1,"congruent",0.703
1,"incongruent",1.277
1,"congruent",0.505
1,"congruent",0.56
1,"incongruent",0.708
1,"congruent",0.547
1,"incongruent",0.843
1,"incongruent",1.052
1,"congruent",0.706
1,"incongruent",0.759
1,"congruent",0.544
1,"congruent",0.69
1,"incongruent",0.627
1,"incongruent",0.256
1,"congruent",0.257
1,"congruent",0.557
1,"congruent",0.391
1,"incongruent",0.709
1,"incongruent",0.764
1,"congruent",0.353
1,"congruent",0.725
1,"incongruent",0.567
1,"incongruent",0.751
1,"congruent",0.595
1,"congruent",0.526
1,"congruent",0.376
1,"incongruent",0.693
1,"incongruent",0.686
1,"congruent",0.292
1,"congruent",0.675
1,"incongruent",0.766
1,"incongruent",0.791
2,"incongruent",0.938
2,"congruent",0.879
2,"congruent",0.806
2,"incongruent",0.869
2,"congruent",0.612
2,"incongruent",1.433
2,"incongruent",1.071
2,"congruent",0.732
2,"incongruent",1.122
2,"congruent",0.569
2,"incongruent",0.955
2,"congruent",0.632
2,"congruent",1.083
2,"incongruent",1.102
2,"congruent",1.442
2,"incongruent",0.661
2,"congruent",0.626
2,"incongruent",0.59
2,"congruent",1.45
2,"incongruent",0.635
2,"congruent",0.742
2,"incongruent",0.779
2,"congruent",0.653
2,"incongruent",0.919
2,"congruent",0.773
2,"congruent",0.679
2,"congruent",0.625
2,"congruent",0.572
2,"incongruent",0.673
2,"congruent",0.612
2,"incongruent",0.461
2,"incongruent",1.107
2,"congruent",0.688
2,"congruent",0.586
2,"incongruent",0.709
2,"congruent",0.601
2,"incongruent",1.344
2,"congruent",0.982
2,"incongruent",0.764
2,"incongruent",1.155
2,"congruent",0.679
2,"congruent",0.874
2,"incongruent",0.719
2,"congruent",0.654
2,"incongruent",0.571
2,"congruent",1.172
2,"incongruent",0.619
2,"incongruent",0.517
2,"congruent",0.534
2,"congruent",0.504
2,"congruent",0.956
2,"incongruent",1.277
2,"incongruent",0.643
2,"incongruent",0.687
2,"congruent",0.857
2,"congruent",1.608
2,"incongruent",0.757
2,"congruent",1.005
2,"congruent",0.96
2,"incongruent",1.189
2,"congruent",1.908
2,"incongruent",1.582
2,"incongruent",1.571
2,"congruent",0.868
2,"congruent",0.565
2,"incongruent",0.567
2,"incongruent",1.202
2,"incongruent",0.889
2,"congruent",0.934
2,"incongruent",1.223
2,"congruent",0.816
2,"congruent",0.588
2,"congruent",0.891
2,"incongruent",1.193
2,"incongruent",1.181
2,"congruent",0.589
2,"incongruent",0.615
2,"congruent",0.544
2,"incongruent",0.949
2,"congruent",0.674
2,"congruent",1.291
2,"incongruent",1.305
2,"incongruent",0.922
2,"incongruent",0.685
2,"incongruent",1.108
2,"congruent",1.191
2,"incongruent",1.299
2,"incongruent",1.671
2,"congruent",0.788
2,"congruent",0.872
3,"congruent",0.762
3,"incongruent",0.829
3,"incongruent",0.551
3,"congruent",0.498
3,"congruent",0.487
3,"congruent",0.514
3,"incongruent",0.517
3,"incongruent",0.587
3,"congruent",0.987
3,"incongruent",0.743
3,"congruent",0.748
3,"incongruent",0.441
3,"congruent",0.531
3,"incongruent",0.482
3,"congruent",0.427
3,"incongruent",0.497
3,"congruent",0.432
3,"incongruent",0.561
3,"congruent",0.432
3,"congruent",0.406
3,"congruent",0.444
3,"incongruent",0.507
3,"congruent",1.149
3,"congruent",0.587
3,"incongruent",0.473
3,"incongruent",0.42
3,"congruent",0.419
3,"incongruent",0.35
3,"incongruent",0.305
3,"congruent",0.23
3,"incongruent",0.205
3,"congruent",0.519
3,"incongruent",0.592
3,"incongruent",0.715
3,"congruent",0.51
3,"incongruent",0.449
3,"congruent",0.506
3,"congruent",0.557
3,"incongruent",0.559
3,"congruent",0.49
3,"incongruent",0.462
3,"incongruent",0.537
3,"congruent",0.472
3,"congruent",0.577
3,"incongruent",0.758
3,"incongruent",0.986
3,"congruent",0.768
3,"incongruent",0.556
3,"congruent",0.662
3,"incongruent",0.734
3,"congruent",0.653
3,"incongruent",0.621
3,"congruent",0.822
3,"congruent",0.49
3,"incongruent",0.458
3,"incongruent",0.338
3,"congruent",0.421
3,"incongruent",0.478
3,"congruent",0.424
3,"congruent",0.541
3,"incongruent",0.451
3,"incongruent",0.486
3,"incongruent",0.468
3,"congruent",0.574
3,"congruent",0.471
3,"congruent",0.401
3,"congruent",0.437
3,"incongruent",0.502
3,"incongruent",0.639
3,"congruent",0.553
3,"incongruent",0.63
3,"incongruent",0.549
3,"congruent",0.731
3,"congruent",0.644
3,"incongruent",0.499
3,"incongruent",0.41
3,"congruent",0.518
3,"congruent",0.434
3,"incongruent",0.589
3,"incongruent",1.45
3,"incongruent",0.641
3,"incongruent",0.429
3,"congruent",0.55
3,"congruent",1.149
3,"incongruent",0.385
3,"incongruent",1.302
3,"congruent",0.976
3,"congruent",0.476
3,"incongruent",0.616
3,"incongruent",0.663
3,"incongruent",0.673
3,"congruent",0.569
3,"congruent",0.598
3,"congruent",0.48
3,"incongruent",0.521
3,"congruent",0.737
3,"congruent",0.689
3,"incongruent",0.608
3,"congruent",0.633
3,"incongruent",0.65
3,"incongruent",0.561
3,"congruent",0.498
3,"incongruent",0.522
3,"congruent",0.548
3,"incongruent",0.595
3,"incongruent",0.607
3,"congruent",0.531
3,"congruent",0.589
3,"incongruent",0.548
3,"incongruent",0.578
3,"congruent",0.46
3,"congruent",0.486
3,"incongruent",0.623
3,"congruent",0.543
3,"congruent",0.517
