"subject","congruency","rt"
18,"congruent",1.281
18,"incongruent",1.942
18,"congruent",0.847
18,"incongruent",1.279
18,"congruent",0.631
18,"incongruent",0.693
18,"congruent",0.922
18,"incongruent",0.703
18,"incongruent",1.764
18,"incongruent",1.342
18,"congruent",0.549
18,"congruent",0.65
18,"incongruent",0.701
18,"congruent",0.682
18,"congruent",0.516
18,"congruent",0.648
18,"incongruent",0.432
18,"congruent",0.738
18,"incongruent",0.754
18,"congruent",0.914
18,"congruent",0.614
18,"incongruent",0.634
18,"incongruent",0.701
18,"congruent",0.806
18,"incongruent",0.753
18,"incongruent",1.013
18,"congruent",0.675
18,"congruent",0.537
18,"incongruent",0.843
18,"congruent",0.7
18,"incongruent",0.731
18,"incongruent",0.721
18,"congruent",0.675
18,"incongruent",0.898
18,"congruent",0.828
18,"congruent",0.521
18,"incongruent",1.3
18,"congruent",0.653
18,"incongruent",1.123
18,"incongruent",0.814
18,"congruent",0.6
18,"congruent",0.492
18,"incongruent",0.634
18,"congruent",0.606
18,"congruent",0.504
18,"incongruent",0.933
18,"incongruent",0.725
18,"incongruent",1.045
18,"congruent",0.674
18,"incongruent",0.661
18,"congruent",0.478
18,"congruent",0.539
18,"incongruent",0.672
18,"congruent",0.604
18,"incongruent",0.571
18,"congruent",0.624
18,"congruent",0.725
18,"incongruent",0.592
18,"incongruent",0.971
18,"incongruent",0.501
18,"congruent",0.703
18,"incongruent",1.277
18,"congruent",0.505
18,"congruent",0.56
18,"incongruent",0.708
18,"congruent",0.547
18,"incongruent",0.843
18,"incongruent",1.052
18,"congruent",0.706
18,"incongruent",0.759
18,"congruent",0.544
18,"congruent",0.69
18,"incongruent",0.627
18,"incongruent",0.256
18,"congruent",0.257
18,"congruent",0.557
18,"congruent",0.391
18,"incongruent",0.709
18,"incongruent",0.764
18,"congruent",0.353
18,"congruent",0.725
18,"incongruent",0.567
18,"incongruent",0.751
18,"congruent",0.595
18,"congruent",0.526
18,"congruent",0.376
18,"incongruent",0.693
18,"incongruent",0.686
18,"congruent",0.292
18,"congruent",0.675
18,"incongruent",0.766
18,"incongruent",0.791
5,"incongruent",0.938
5,"congruent",0.879
5,"congruent",0.806
5,"incongruent",0.869
5,"congruent",0.612
5,"incongruent",1.433
5,"incongruent",1.071
5,"congruent",0.732
5,"incongruent",1.122
5,"congruent",0.569
5,"incongruent",0.955
5,"congruent",0.632
5,"congruent",1.083
5,"incongruent",1.102
5,"congruent",1.442
5,"incongruent",0.661
5,"congruent",0.626
5,"incongruent",0.59
5,"congruent",1.45
5,"incongruent",0.635
5,"congruent",0.742
5,"incongruent",0.779
5,"congruent",0.653
5,"incongruent",0.919
5,"congruent",0.773
5,"congruent",0.679
5,"congruent",0.625
5,"congruent",0.572
5,"incongruent",0.673
5,"congruent",0.612
5,"incongruent",0.461
5,"incongruent",1.107
5,"congruent",0.688
5,"congruent",0.586
5,"incongruent",0.709
5,"congruent",0.601
5,"incongruent",1.344
5,"congruent",0.982
5,"incongruent",0.764
5,"incongruent",1.155
5,"congruent",0.679
5,"congruent",0.874
5,"incongruent",0.719
5,"congruent",0.654
5,"incongruent",0.571
5,"congruent",1.172
5,"incongruent",0.619
5,"incongruent",0.517
5,"congruent",0.534
5,"congruent",0.504
5,"congruent",0.956
5,"incongruent",1.277
5,"incongruent",0.643
5,"incongruent",0.687
5,"congruent",0.857
5,"congruent",1.608
5,"incongruent",0.757
5,"congruent",1.005
5,"congruent",0.96
5,"incongruent",1.189
5,"congruent",1.908
5,"incongruent",1.582
5,"incongruent",1.571
5,"congruent",0.868
5,"congruent",0.565
5,"incongruent",0.567
5,"incongruent",1.202
5,"incongruent",0.889
5,"congruent",0.934
5,"incongruent",1.223
5,"congruent",0.816
5,"congruent",0.588
5,"congruent",0.891
5,"incongruent",1.193
5,"incongruent",1.181
5,"congruent",0.589
5,"incongruent",0.615
5,"congruent",0.544
5,"incongruent",0.949
5,"congruent",0.674
5,"congruent",1.291
5,"incongruent",1.305
5,"incongruent",0.922
5,"incongruent",0.685
5,"incongruent",1.108
5,"congruent",1.191
5,"incongruent",1.299
5,"incongruent",1.671
5,"congruent",0.788
5,"congruent",0.872
12,"congruent",0.762
12,"incongruent",0.829
12,"incongruent",0.551
12,"congruent",0.498
12,"congruent",0.487
12,"congruent",0.514
12,"incongruent",0.517
12,"incongruent",0.587
12,"congruent",0.987
12,"incongruent",0.743
12,"congruent",0.748
12,"incongruent",0.441
12,"congruent",0.531
12,"incongruent",0.482
12,"congruent",0.427
12,"incongruent",0.497
12,"congruent",0.432
12,"incongruent",0.561
12,"congruent",0.432
12,"congruent",0.406
12,"congruent",0.444
12,"incongruent",0.507
12,"congruent",1.149
12,"congruent",0.587
12,"incongruent",0.473
12,"incongruent",0.42
12,"congruent",0.419
12,"incongruent",0.35
12,"incongruent",0.305
12,"congruent",0.23
12,"incongruent",0.205
12,"congruent",0.519
12,"incongruent",0.592
12,"incongruent",0.715
12,"congruent",0.51
12,"incongruent",0.449
12,"congruent",0.506
12,"congruent",0.557
12,"incongruent",0.559
12,"congruent",0.49
12,"incongruent",0.462
12,"incongruent",0.537
12,"congruent",0.472
12,"congruent",0.577
12,"incongruent",0.758
12,"incongruent",0.986
12,"congruent",0.768
12,"incongruent",0.556
12,"congruent",0.662
12,"incongruent",0.734
12,"congruent",0.653
12,"incongruent",0.621
12,"congruent",0.822
12,"congruent",0.49
12,"incongruent",0.458
12,"incongruent",0.338
12,"congruent",0.421
12,"incongruent",0.478
12,"congruent",0.424
12,"congruent",0.541
12,"incongruent",0.451
12,"incongruent",0.486
12,"incongruent",0.468
12,"congruent",0.574
12,"congruent",0.471
12,"congruent",0.401
12,"congruent",0.437
12,"incongruent",0.502
12,"incongruent",0.639
12,"congruent",0.553
12,"incongruent",0.63
12,"incongruent",0.549
12,"congruent",0.731
12,"congruent",0.644
12,"incongruent",0.499
12,"incongruent",0.41
12,"congruent",0.518
12,"congruent",0.434
12,"incongruent",0.589
12,"incongruent",1.45
12,"incongruent",0.641
12,"incongruent",0.429
12,"congruent",0.55
12,"congruent",1.149
12,"incongruent",0.385
12,"incongruent",1.302
12,"congruent",0.976
12,"congruent",0.476
12,"incongruent",0.616
15,"incongruent",0.663
15,"incongruent",0.673
15,"congruent",0.569
15,"congruent",0.598
15,"congruent",0.48
15,"incongruent",0.521
15,"congruent",0.737
15,"congruent",0.689
15,"incongruent",0.608
15,"congruent",0.633
15,"incongruent",0.65
15,"incongruent",0.561
15,"congruent",0.498
15,"incongruent",0.522
15,"congruent",0.548
15,"incongruent",0.595
15,"incongruent",0.607
15,"congruent",0.531
15,"congruent",0.589
15,"incongruent",0.548
15,"incongruent",0.578
15,"congruent",0.46
15,"congruent",0.486
15,"incongruent",0.623
15,"congruent",0.543
15,"congruent",0.517
15,"incongruent",0.684
15,"congruent",0.572
15,"incongruent",0.515
15,"incongruent",0.486
15,"congruent",0.549
15,"incongruent",0.53
15,"congruent",0.461
15,"congruent",0.48
15,"incongruent",0.485
15,"congruent",0.451
15,"incongruent",0.473
15,"incongruent",0.528
15,"congruent",0.511
15,"incongruent",0.484
15,"incongruent",0.493
15,"congruent",0.568
15,"congruent",0.706
15,"incongruent",0.522
15,"incongruent",0.45
15,"congruent",0.508
15,"congruent",0.426
15,"congruent",0.482
15,"incongruent",0.534
15,"incongruent",0.489
15,"congruent",0.493
15,"incongruent",0.454
15,"incongruent",0.485
15,"congruent",0.441
15,"congruent",0.44
15,"incongruent",0.431
15,"congruent",0.454
15,"incongruent",0.556
15,"congruent",0.447
15,"incongruent",0.531
15,"incongruent",0.472
15,"congruent",0.412
15,"congruent",0.45
15,"congruent",0.404
15,"congruent",0.481
15,"incongruent",0.464
15,"incongruent",0.491
15,"incongruent",0.483
15,"congruent",0.469
15,"congruent",0.499
15,"incongruent",0.436
15,"congruent",0.53
15,"congruent",0.445
15,"incongruent",0.444
15,"incongruent",0.469
15,"incongruent",0.49
15,"congruent",0.517
15,"incongruent",0.538
15,"congruent",0.449
15,"incongruent",0.45
15,"congruent",0.4
15,"congruent",0.371
15,"incongruent",0.529
15,"incongruent",0.416
15,"congruent",0.466
15,"congruent",0.573
15,"incongruent",0.467
15,"incongruent",0.29
15,"congruent",0.5
15,"incongruent",0.292
15,"congruent",0.419
15,"incongruent",0.384
15,"congruent",0.463
15,"congruent",0.458
15,"incongruent",0.538
10,"congruent",0.498
10,"congruent",0.484
10,"incongruent",0.528
10,"incongruent",0.695
10,"congruent",0.588
10,"congruent",0.499
10,"incongruent",0.612
10,"congruent",0.489
10,"congruent",0.461
10,"incongruent",0.668
10,"incongruent",0.514
10,"congruent",0.67
10,"congruent",0.621
10,"congruent",0.498
10,"incongruent",0.945
10,"incongruent",0.608
10,"congruent",0.614
10,"congruent",0.525
10,"congruent",0.405
10,"incongruent",0.71
10,"congruent",0.492
10,"incongruent",1.065
10,"incongruent",0.742
10,"congruent",0.57
10,"congruent",0.564
10,"congruent",0.369
10,"incongruent",0.637
10,"incongruent",0.602
10,"incongruent",0.547
10,"congruent",0.477
10,"incongruent",0.695
10,"congruent",0.342
10,"incongruent",0.597
10,"congruent",0.547
10,"congruent",0.384
10,"incongruent",0.648
10,"congruent",0.78
10,"congruent",0.598
10,"congruent",0.833
10,"incongruent",0.83
10,"incongruent",0.587
10,"congruent",0.483
10,"congruent",0.566
10,"incongruent",0.635
10,"incongruent",0.725
10,"congruent",0.799
10,"congruent",0.823
10,"incongruent",0.989
10,"congruent",0.542
10,"incongruent",0.699
10,"incongruent",0.701
10,"incongruent",1.14
10,"congruent",1.242
10,"congruent",0.447
10,"incongruent",0.804
10,"congruent",0.47
10,"incongruent",1.054
10,"congruent",0.577
10,"incongruent",0.528
10,"incongruent",0.694
10,"congruent",0.578
10,"congruent",0.73
10,"incongruent",0.628
10,"incongruent",0.685
10,"congruent",0.523
10,"congruent",0.77
10,"incongruent",0.987
10,"congruent",0.746
10,"congruent",0.565
10,"incongruent",0.85
10,"incongruent",0.628
10,"congruent",0.524
10,"incongruent",0.728
10,"congruent",0.675
10,"congruent",0.738
10,"congruent",0.46
10,"incongruent",0.657
10,"incongruent",1.013
10,"incongruent",0.709
10,"congruent",0.655
10,"congruent",0.502
10,"incongruent",1.205
10,"incongruent",0.679
10,"congruent",0.536
10,"congruent",0.493
10,"congruent",0.461
10,"congruent",0.734
10,"incongruent",1.14
10,"incongruent",0.859
7,"congruent",0.704
7,"congruent",0.725
7,"incongruent",1.228
7,"congruent",0.657
7,"incongruent",0.812
7,"congruent",0.702
7,"incongruent",0.747
7,"congruent",0.548
7,"incongruent",0.724
7,"congruent",0.528
7,"incongruent",0.633
7,"incongruent",0.601
7,"incongruent",0.575
7,"congruent",0.548
7,"congruent",0.533
7,"incongruent",0.682
7,"congruent",0.546
7,"congruent",0.577
7,"incongruent",0.618
7,"incongruent",0.581
7,"congruent",0.725
7,"incongruent",0.645
7,"congruent",0.526
7,"incongruent",0.661
7,"congruent",0.496
7,"congruent",0.501
7,"incongruent",0.52
7,"incongruent",0.582
7,"incongruent",0.596
7,"congruent",0.487
7,"congruent",0.517
7,"incongruent",0.549
7,"congruent",0.615
7,"incongruent",0.508
7,"congruent",0.504
7,"congruent",0.507
7,"incongruent",0.67
7,"incongruent",0.634
7,"congruent",0.502
7,"incongruent",0.587
7,"congruent",0.497
7,"incongruent",0.512
7,"congruent",0.542
7,"congruent",0.464
7,"incongruent",0.585
7,"incongruent",0.677
7,"congruent",0.569
7,"incongruent",0.56
7,"congruent",0.331
7,"incongruent",0.552
7,"congruent",0.377
7,"incongruent",0.319
7,"congruent",0.477
7,"incongruent",0.664
7,"congruent",0.537
7,"incongruent",0.483
7,"incongruent",0.664
7,"congruent",0.542
7,"incongruent",0.663
7,"incongruent",0.516
7,"congruent",0.59
7,"congruent",0.386
7,"incongruent",0.512
7,"congruent",0.553
7,"incongruent",0.609
7,"congruent",0.571
7,"congruent",0.46
7,"incongruent",0.734
7,"congruent",0.593
7,"incongruent",0.676
7,"incongruent",0.673
7,"congruent",0.547
7,"congruent",0.535
7,"incongruent",0.74
7,"congruent",0.486
7,"congruent",0.513
7,"incongruent",0.579
7,"incongruent",0.553
7,"congruent",0.589
7,"congruent",0.477
7,"incongruent",0.491
7,"incongruent",0.586
7,"congruent",0.503
7,"incongruent",0.722
7,"congruent",0.645
7,"incongruent",0.554
7,"congruent",0.52
7,"incongruent",0.637
7,"congruent",0.518
7,"incongruent",0.748
7,"congruent",0.704
7,"congruent",0.546
7,"incongruent",0.606
7,"incongruent",0.584
16,"incongruent",1.163
16,"congruent",0.635
16,"incongruent",0.723
16,"congruent",0.495
16,"incongruent",0.621
16,"congruent",0.519
16,"congruent",0.57
16,"incongruent",0.928
16,"congruent",0.652
16,"congruent",0.421
16,"incongruent",0.732
16,"incongruent",0.553
16,"congruent",1.166
16,"congruent",0.568
16,"congruent",0.548
16,"incongruent",1.039
16,"congruent",0.776
16,"incongruent",1.06
16,"congruent",0.983
16,"congruent",0.791
16,"incongruent",0.961
16,"congruent",0.674
16,"incongruent",0.815
16,"congruent",0.693
16,"incongruent",0.538
16,"congruent",0.838
16,"incongruent",0.623
16,"congruent",0.839
16,"incongruent",0.909
16,"congruent",0.743
16,"incongruent",1.519
16,"congruent",0.629
16,"incongruent",0.917
16,"incongruent",0.767
16,"congruent",0.8
16,"congruent",0.665
