temperature;year;month
-5.0004;1901;1
-4.7414;1901;2
2.97621;1901;3
8.12247;1901;4
12.5008;1901;5
16.7214;1901;6
18.3146;1901;7
17.102;1901;8
13.6187;1901;9
9.86774;1901;10
2.07305;1901;11
1.43088;1901;12
0.96386;1902;1
0.73228;1902;2
3.49404;1902;3
8.62689;1902;4
8.68365;1902;5
14.1754;1902;6
17.2665;1902;7
17.0204;1902;8
13.8633;1902;9
8.91292;1902;10
1.36133;1902;11
-2.2217;1902;12
-2.3087;1903;1
2.14297;1903;2
5.39971;1903;3
4.88325;1903;4
12.3588;1903;5
14.77;1903;6
17.0604;1903;7
17.4615;1903;8
14.0617;1903;9
10.0807;1903;10
4.59635;1903;11
0.5042;1903;12
-1.8207;1904;1
1.9774;1904;2
4.38866;1904;3
8.94905;1904;4
13.0588;1904;5
16.6129;1904;6
19.6772;1904;7
17.7518;1904;8
12.1927;1904;9
9.39433;1904;10
2.79618;1904;11
0.72993;1904;12
-4.7798;1905;1
-0.8918;1905;2
4.63682;1905;3
6.92935;1905;4
11.7926;1905;5
16.0457;1905;6
19.6996;1905;7
18.3677;1905;8
15.6508;1905;9
5.42871;1905;10
4.41231;1905;11
0.82714;1905;12
-1.6799;1906;1
-0.3086;1906;2
3.42019;1906;3
8.07099;1906;4
12.6336;1906;5
15.128;1906;6
17.4977;1906;7
17.4562;1906;8
12.4586;1906;9
9.54713;1906;10
6.10212;1906;11
-2.5412;1906;12
-3.2122;1907;1
-2.363;1907;2
1.29684;1907;3
5.46409;1907;4
13.9539;1907;5
16.8172;1907;6
16.6283;1907;7
18.086;1907;8
14.4502;1907;9
12.7078;1907;10
3.85833;1907;11
0.97742;1907;12
-2.6191;1908;1
0.43204;1908;2
2.14612;1908;3
5.98274;1908;4
15.3511;1908;5
17.821;1908;6
17.7136;1908;7
15.8666;1908;8
12.4324;1908;9
8.8861;1908;10
0.16748;1908;11
-1.946;1908;12
-3.9769;1909;1
-3.2829;1909;2
2.52555;1909;3
8.82575;1909;4
11.6495;1909;5
15.0406;1909;6
16.5331;1909;7
17.5911;1909;8
13.9912;1909;9
10.9034;1909;10
2.46248;1909;11
2.46426;1909;12
-0.3318;1910;1
2.3311;1910;2
4.46862;1910;3
7.2852;1910;4
11.7136;1910;5
16.0411;1910;6
16.1351;1910;7
17.0624;1910;8
12.2081;1910;9
9.78102;1910;10
2.85947;1910;11
3.40747;1910;12
-2.3924;1911;1
-0.6725;1911;2
4.01799;1911;3
7.35933;1911;4
12.1077;1911;5
15.157;1911;6
18.995;1911;7
19.0521;1911;8
15.1463;1911;9
9.46118;1911;10
6.72815;1911;11
2.16178;1911;12
-1.4452;1912;1
3.22222;1912;2
