INFO_TeamH;INFO_TeamA;INFO_Date;INFO_Competition;Y_FTHG;Y_FTAG;X_ScoreRateH;X_ScoreRateA;X_ConcedeRateH;X_ConcedeRateA;X_CornerRatioH;X_CornerRatioA;X_FoulRatioH;X_FoulRatioA;X_ScoringAccH;X_ScoringAccA
Hercules;Ath Bilbao;28.8.2010;SP1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Levante;Sevilla;28.8.2010;SP1;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Malaga;Valencia;28.8.2010;SP1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Espanol;Getafe;29.8.2010;SP1;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
La Coruna;Zaragoza;29.8.2010;SP1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mallorca;Real Madrid;29.8.2010;SP1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Osasuna;Almeria;29.8.2010;SP1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Santander;Barcelona;29.8.2010;SP1;0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sociedad;Villarreal;29.8.2010;SP1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ath Madrid;Sp Gijon;30.8.2010;SP1;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ath Bilbao;Ath Madrid;11.9.2010;SP1;1;2;1;4;0;0;0.090909091;0.4;0.545454545;0.371428571;0.357142857;0.4375
Barcelona;Hercules;11.9.2010;SP1;0;2;3;0;0;1;0.454545455;0.909090909;0.4;0.454545455;0.555555556;0.333333333
Real Madrid;Osasuna;11.9.2010;SP1;1;0;0;0;0;0;0.8;0.75;0.483870968;0.55;0.3125;0.153846154
Valencia;Santander;11.9.2010;SP1;1;0;3;0;1;3;0.588235294;0.545454545;0.483870968;0.6;0.380952381;0.636363636
Getafe;Levante;12.9.2010;SP1;4;1;1;1;3;4;0.333333333;0.666666667;0.346153846;0.476190476;0.076923077;0.571428571
Sevilla;La Coruna;12.9.2010;SP1;0;0;4;0;1;0;0.333333333;0.4;0.523809524;0.457142857;0.571428571;0.25
Sp Gijon;Mallorca;12.9.2010;SP1;2;0;0;0;4;0;0.6;0.2;0.628571429;0.516129032;0.444444444;0.285714286
Villarreal;Espanol;12.9.2010;SP1;4;0;0;3;1;1;0.363636364;0.666666667;0.583333333;0.653846154;0.217391304;0.470588235
Zaragoza;Malaga;12.9.2010;SP1;3;5;0;1;0;3;0.6;0.411764706;0.542857143;0.516129032;0.375;0.263157895
Almeria;Sociedad;13.9.2010;SP1;2;2;0;1;0;0;0.25;0.636363636;0.45;0.416666667;0;0.3
Espanol;Almeria;18.9.2010;SP1;1;0;1.5;1;2.5;1;0.695652174;0.409090909;0.590163934;0.5;0.40625;0.333333333
Mallorca;Osasuna;18.9.2010;SP1;2;0;0;0;1;0.5;0.333333333;0.5;0.442622951;0.563218391;0.1875;0.176470588
Sociedad;Real Madrid;18.9.2010;SP1;1;2;1.5;0.5;1;0;0.523809524;0.764705882;0.424242424;0.448717949;0.36;0.292682927
Sp Gijon;Ath Bilbao;18.9.2010;SP1;2;2;1;1;2;1;0.555555556;0.388888889;0.630769231;0.588235294;0.466666667;0.25
